CellType,25-11-25-538_slices_merged_np080,25-11-25-538_slices_merged_np067,difference,abs_diff,percent_change,sample
Adipocytes,0.023381299999999997,0.0119594,-0.011421899999999997,0.011421899999999997,-48.85057717064491,25-11-25-538_slices
Bladder-Ep,0.0065766999999999996,0.011729,0.0051523,0.0051523,78.34172153207537,25-11-25-538_slices
Blood-B,0.0309695,0.0290394,-0.0019301000000000006,0.0019301000000000006,-6.232260772695718,25-11-25-538_slices
Blood-Granul,0.0091291,0.011184999999999999,0.0020558999999999994,0.0020558999999999994,22.5202922522483,25-11-25-538_slices
Blood-Mono+Macro,0.0931981,0.09196939999999999,-0.0012287000000000131,0.0012287000000000131,-1.3183745162186922,25-11-25-538_slices
Blood-NK,0.0099601,0.0248358,0.014875700000000002,0.014875700000000002,149.35291814339215,25-11-25-538_slices
Blood-T,0.00403,0.0024528,-0.0015771999999999995,0.0015771999999999995,-39.136476426799,25-11-25-538_slices
Breast-Basal-Ep,0.0158586,0.0032042000000000004,-0.0126544,0.0126544,-79.79518999155032,25-11-25-538_slices
Breast-Luminal-Ep,0.035950800000000005,0.041835000000000004,0.005884199999999999,0.005884199999999999,16.367368737274273,25-11-25-538_slices
Colon-Ep,0.012663899999999999,0.015412,0.0027481000000000016,0.0027481000000000016,21.700266110755784,25-11-25-538_slices
Endothel,0.05998680000000001,0.050432300000000006,-0.0095545,0.0095545,-15.927670754232597,25-11-25-538_slices
Epid-Kerat,0.0141072,0.0165789,0.0024717000000000003,0.0024717000000000003,17.52084042191222,25-11-25-538_slices
Eryth-prog,0.0004846,0.0,-0.0004846,0.0004846,-100.0,25-11-25-538_slices
Fallopian-Ep,0.0020090999999999998,0.0,-0.0020090999999999998,0.0020090999999999998,-100.0,25-11-25-538_slices
Gastric-Ep,0.007259399999999999,0.010178399999999999,0.0029189999999999997,0.0029189999999999997,40.20993470534755,25-11-25-538_slices
Head-Neck-Ep,0.014146,0.0109544,-0.003191600000000001,0.003191600000000001,-22.561854941326175,25-11-25-538_slices
Heart-Cardio,0.012261399999999999,0.0169641,0.004702700000000001,0.004702700000000001,38.353695336584735,25-11-25-538_slices
Heart-Fibro,0.0096995,0.011176,0.0014765000000000004,0.0014765000000000004,15.222434146090007,25-11-25-538_slices
Kidney-Ep,0.0374237,0.045844499999999996,0.008420799999999999,0.008420799999999999,22.501249208389336,25-11-25-538_slices
Liver-Hep,0.020203799999999997,0.0260696,0.005865800000000001,0.005865800000000001,29.033152179293015,25-11-25-538_slices
Lung-Ep-Alveo,0.014436000000000001,0.0166261,0.0021901000000000004,0.0021901000000000004,15.171100027708508,25-11-25-538_slices
Lung-Ep-Bron,0.007627600000000001,0.0057614,-0.001866200000000001,0.001866200000000001,-24.46641145314386,25-11-25-538_slices
Neuron,0.2588353,0.2698492,0.011013900000000021,0.011013900000000021,4.255176940703228,25-11-25-538_slices
Oligodend,0.0741695,0.0607255,-0.013443999999999998,0.013443999999999998,-18.12604911722473,25-11-25-538_slices
Ovary-Ep,0.0267178,0.04858869999999999,0.021870899999999992,0.021870899999999992,81.85891053904136,25-11-25-538_slices
Pancreas-Acinar,0.0073694,0.0,-0.0073694,0.0073694,-100.0,25-11-25-538_slices
Pancreas-Alpha,0.001791,0.0048382,0.0030472,0.0030472,170.1395868230039,25-11-25-538_slices
Pancreas-Beta,0.0296618,0.025770400000000002,-0.0038913999999999963,0.0038913999999999963,-13.119230795164139,25-11-25-538_slices
Pancreas-Delta,0.0025743000000000003,0.0,-0.0025743000000000003,0.0025743000000000003,-100.0,25-11-25-538_slices
Pancreas-Duct,0.021338,0.015265700000000002,-0.0060722999999999975,0.0060722999999999975,-28.45768113225231,25-11-25-538_slices
Megakaryocytes,0.0,0.0,0.0,0.0,0.0,25-11-25-538_slices
Prostate-Ep,0.0141072,0.0085891,-0.0055181,0.0055181,-39.115487127140746,25-11-25-538_slices
Skeletal-Musc,0.0619111,0.078864,0.016952900000000007,0.016952900000000007,27.382650284036313,25-11-25-538_slices
Small-Int-Ep,0.0271372,0.0214178,-0.0057193999999999995,0.0057193999999999995,-21.075866338457907,25-11-25-538_slices
Smooth-Musc,0.018759400000000002,0.0,-0.018759400000000002,0.018759400000000002,-100.0,25-11-25-538_slices
Thyroid-Ep,0.0142649,0.0118839,-0.002381000000000001,0.002381000000000001,-16.69131925215039,25-11-25-538_slices
